# Lexia 3 full USB dump (control+bulk+interrupt, включая пустые)
# ts,type,xfer,dir,ep,bus,dev,status,length,caplen,setup,data
1787289886.094635,S,CTRL,OUT,0,1,11,4294967181,0,0,0009010000000000,
1787289886.095716,C,CTRL,OUT,0,1,11,0,0,0,,
1787289887.096234,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.216341,C,BULK,IN,5,1,11,4294967294,0,0,,
1787289887.216649,S,BULK,OUT,6,1,11,4294967181,27,27,,400917c000090200aa00000000000000000000000000000016060e
1787289887.216739,C,BULK,OUT,6,1,11,0,27,0,,
1787289887.221905,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.221961,C,BULK,IN,5,1,11,0,3,3,,064009
1787289887.222041,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.222084,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.224219,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.224247,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.224329,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.224371,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.229555,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.229626,C,BULK,IN,5,1,11,0,31,31,,44091bc000090200aa00000000000009060001aa0000000030313131313341
1787289887.229697,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.229739,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.231883,S,BULK,OUT,6,1,11,4294967181,27,27,,400917c000090200aa00000000000000000000000000000016060e
1787289887.231948,C,BULK,OUT,6,1,11,0,27,0,,
1787289887.237182,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.237240,C,BULK,IN,5,1,11,0,3,3,,064009
1787289887.237332,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.237411,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.239584,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.239742,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.239860,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.239921,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.245122,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.245218,C,BULK,IN,5,1,11,0,31,31,,44091bc000090200aa00000000000009060001aa0000000030313131313341
1787289887.245351,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.245394,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.247596,S,BULK,OUT,6,1,11,4294967181,25,25,,400915c000070000aa00000000000000000000000000000030
1787289887.247681,C,BULK,OUT,6,1,11,0,25,0,,
1787289887.252875,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.252928,C,BULK,IN,5,1,11,0,3,3,,064009
1787289887.253008,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.253055,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.255192,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.255229,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.255265,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.255292,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.260391,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.260460,C,BULK,IN,5,1,11,0,25,25,,440915c000070000aa0000000000000700000caa000000006f
1787289887.260490,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.260518,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.262700,S,BULK,OUT,6,1,11,4294967181,27,27,,400917c000090200aa00000000000000000000000000000016060e
1787289887.262783,C,BULK,OUT,6,1,11,0,27,0,,
1787289887.267970,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.268029,C,BULK,IN,5,1,11,0,3,3,,064009
1787289887.268115,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.268152,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.270260,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.270313,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.270380,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.270425,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.275597,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.275743,C,BULK,IN,5,1,11,0,31,31,,44091bc000090200aa00000000000009060001aa0000000030313131313341
1787289887.275839,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
